"Project Key","Issue ID","Issue Type","Summary","Description","Epic Name","Epic Link","Priority","Story Points","Labels","Parent ID"
"SUNIT8","3005","Task","Shape the transaction detail response","Work item for detail view support. Acceptance Criteria: route hops, validation outcomes, and risk context are included in the response.","","Transaction Management","High","1","task,transactions,backend","2005"
"SUNIT8","4005","Sub-task","Keep detail ordering stable for the UI","Implementation step for detail responses. Acceptance Criteria: the detail payload is consistently ordered so the frontend renders predictably.","","Transaction Management","Medium","1","subtask,transactions,backend","3005"
"SUNIT8","2006","Story","Validate transaction request payloads","Current state: validation services exist. Goal: enforce required fields, amount rules, currency format, and route integrity. Acceptance Criteria: missing fields are rejected; invalid amount or currency values are rejected; route rules are enforced consistently.","","Validation Engine","Highest","5","validation,backend,api",""
"SUNIT8","2007","Story","Persist validation failures for investigation","Goal: store failed validation results so analysts can review them later. Acceptance Criteria: validation failures are stored; errors are linked to the source transaction; errors are queryable by API.","","Validation Engine","High","5","validation,persistence,backend",""
"SUNIT8","3006","Task","Enforce the validation contract","Work item for request validation. Acceptance Criteria: validation annotations and service checks reject bad inputs and return structured errors.","","Validation Engine","Highest","1","task,validation,backend","2006"
"SUNIT8","4006","Sub-task","Check localized error messaging","Implementation step for validation errors. Acceptance Criteria: error text is understandable and usable in the UI.","","Validation Engine","Medium","1","subtask,validation,backend","3006"
"SUNIT8","3007","Task","Persist and query validation errors","Work item for validation persistence. Acceptance Criteria: validation errors are stored and can be queried for a transaction.","","Validation Engine","High","1","task,validation,backend","2007"
"SUNIT8","4007","Sub-task","Verify repeat submission consistency","Implementation step for error persistence. Acceptance Criteria: repeated invalid submissions remain consistent and do not corrupt stored error data.","","Validation Engine","Medium","1","subtask,validation,backend","3007"
"SUNIT8","2008","Story","Add monitoring rule query endpoints","Current state: rule entities, controllers, and services exist. Goal: expose the monitoring rule catalog. Acceptance Criteria: rules can be listed; rule details are returned in a stable contract; disabled rules are represented clearly.","","Rule Engine","High","3","rules,backend,api",""
"SUNIT8","2009","Story","Update rule threshold severity and status","Goal: allow controlled edits to rules without recreating them. Acceptance Criteria: threshold can change; severity can change; enable and disable actions work; invalid changes return a structured error.","","Rule Engine","High","5","rules,backend,validation",""
"SUNIT8","3008","Task","Implement rule queries and state response","Work item for rule catalog access. Acceptance Criteria: list and detail endpoints return normalized rule state.","","Rule Engine","High","1","task,rules,backend","2008"
"SUNIT8","4008","Sub-task","Keep rule status values normalized","Implementation step for rule queries. Acceptance Criteria: rule status values are consistent across the API.","","Rule Engine","Medium","1","subtask,rules,backend","3008"
"SUNIT8","3009","Task","Add rule edit validation and persistence","Work item for rule updates. Acceptance Criteria: valid rule edits persist safely and invalid edits are rejected.","","Rule Engine","High","1","task,rules,backend","2009"
"SUNIT8","4009","Sub-task","Prevent duplicate rule codes","Implementation step for rule updates. Acceptance Criteria: duplicate rule codes are blocked before save.","","Rule Engine","High","1","subtask,rules,backend","3009"
"SUNIT8","2010","Story","Calculate transaction risk score","Current state: risk-focused backend structure exists. Goal: evaluate transaction and route attributes to produce a consistent score and level. Acceptance Criteria: risk score is computed consistently; level maps to thresholds; result is available for alerting.","","Risk Scoring","Highest","8","risk,backend,analytics",""
"SUNIT8","2011","Story","Provide score breakdown for investigators","Goal: explain why a transaction received a given score so analysts can review it. Acceptance Criteria: a breakdown is available; explanation is understandable; output is stable for frontend use.","","Risk Scoring","High","5","risk,investigation,backend",""
"SUNIT8","3010","Task","Define scoring inputs and outputs","Work item for risk calculation. Acceptance Criteria: inputs and thresholds are defined and the resulting score can be stored with the transaction.","","Risk Scoring","Highest","1","task,risk,backend","2010"
"SUNIT8","4010","Sub-task","Document score thresholds clearly","Implementation step for score calculation. Acceptance Criteria: threshold rules are documented for team use.","","Risk Scoring","Medium","1","subtask,risk,backend","3010"
"SUNIT8","3011","Task","Build score explanation payloads","Work item for score explanations. Acceptance Criteria: the API returns a clear breakdown and the frontend can consume it.","","Risk Scoring","High","1","task,risk,backend","2011"
"SUNIT8","4011","Sub-task","Avoid internal-only terminology","Implementation step for score explanations. Acceptance Criteria: explanation text is suitable for analysts and does not rely on private implementation jargon.","","Risk Scoring","Medium","1","subtask,risk,backend","3011"
"SUNIT8","2012","Story","Create alerts from transaction outcomes","Current state: alert scaffolding exists. Goal: generate alerts when transactions exceed risk thresholds or fail critical validation checks. Acceptance Criteria: alerts are created for the correct triggers; severity is assigned consistently; alerts link back to the source transaction.","","Alert Generation","Highest","8","alerts,risk,backend",""
"SUNIT8","2013","Story","Manage alert status transitions","Goal: support acknowledge, investigate, close, and dismiss actions with audit history. Acceptance Criteria: transitions are validated; invalid transitions are rejected; history records the action taken.","","Alert Generation","High","5","alerts,workflow,backend",""
"SUNIT8","2014","Story","Build alert review UI","Goal: give analysts a clean screen for reviewing alert details and taking action. Acceptance Criteria: alert details are visible; action buttons are available based on state; loading and empty states are handled.","","Alert Generation","High","5","alerts,frontend,analyst,fraud-analyst,risk-analyst",""
"SUNIT8","3012","Task","Create alert records from risk results","Work item for alert generation. Acceptance Criteria: alert creation rules run, records persist, and the source transaction is linked.","","Alert Generation","Highest","1","task,alerts,backend","2012"
"SUNIT8","4012","Sub-task","Keep alert creation idempotent","Implementation step for alert generation. Acceptance Criteria: repeated evaluation does not create duplicate alerts.","","Alert Generation","High","1","subtask,alerts,backend","3012"
"SUNIT8","3013","Task","Add alert lifecycle transitions","Work item for alert workflows. Acceptance Criteria: transition endpoints validate allowed status changes and update history.","","Alert Generation","High","1","task,alerts,backend","2013"
"SUNIT8","4013","Sub-task","Keep audit timestamps in UTC","Implementation step for alert history. Acceptance Criteria: audit events store UTC timestamps consistently.","","Alert Generation","Medium","1","subtask,alerts,backend","3013"
"SUNIT8","3014","Task","Build alert detail and action UI","Work item for analyst review. Acceptance Criteria: alert detail data renders and actions can be triggered from the UI.","","Alert Generation","High","1","task,alerts,frontend,analyst","2014"
"SUNIT8","4014","Sub-task","Ensure action feedback is obvious","Implementation step for alert review UI. Acceptance Criteria: the user can clearly see action success, failure, and loading state.","","Alert Generation","Medium","1","subtask,alerts,frontend,analyst","3014"
"SUNIT8","2015","Story","Create a case from an alert","Goal: let an analyst open a case from a notable alert and track the review process. Acceptance Criteria: a case can be created; the case stores alert and transaction references; case status can be updated.","","Case Management","High","5","cases,alerts,analyst,fraud-analyst",""
"SUNIT8","2016","Story","View and update case details","Goal: provide a workspace for notes, resolution status, and investigation progress. Acceptance Criteria: case details are retrievable; notes can be updated; resolution state is visible.","","Case Management","Medium","3","cases,ui,backend,analyst",""
"SUNIT8","3015","Task","Create case objects from alerts","Work item for case creation. Acceptance Criteria: a case can be created from an alert and remains linked to its source records.","","Case Management","High","1","task,cases,backend","2015"
"SUNIT8","4015","Sub-task","Keep case numbering stable","Implementation step for case creation. Acceptance Criteria: case IDs are predictable and stable across the workflow.","","Case Management","Medium","1","subtask,cases,backend","3015"
"SUNIT8","3016","Task","Build case detail and notes workflow","Work item for case detail UI and API. Acceptance Criteria: details load, notes can be edited, and resolution fields work.","","Case Management","Medium","1","task,cases,frontend,backend","2016"
"SUNIT8","4016","Sub-task","Keep the view readable on smaller screens","Implementation step for case detail UI. Acceptance Criteria: the case page remains usable on common desktop and narrow widths.","","Case Management","Medium","1","subtask,cases,frontend","3016"
"SUNIT8","2017","Story","Build KPI cards for operational overview","Current state: KPI card and dashboard scaffolding exist. Goal: show transaction counts, alert counts, high-risk counts, and status information. Acceptance Criteria: cards load live data; loading and empty states are handled; metrics are role-appropriate.","","Dashboard and Analytics","High","5","dashboard,analytics,frontend,admin,fraud-analyst,risk-analyst",""
"SUNIT8","2018","Story","Add analytics charts for trends and risk distribution","Goal: visualize activity trends, severity splits, and operational patterns. Acceptance Criteria: charts display live data; charts remain readable on desktop; loading states are present.","","Dashboard and Analytics","High","5","dashboard,analytics,frontend",""
"SUNIT8","2019","Story","Complete the admin dashboard experience","Goal: provide a concise administrative landing view with high-level controls and summary status. Acceptance Criteria: admin landing page is accessible; summary cards reflect admin-relevant data; layout is consistent.","","Dashboard and Analytics","Medium","3","admin,dashboard,frontend",""
"SUNIT8","3017","Task","Connect KPI cards to live data","Work item for dashboard metrics. Acceptance Criteria: KPI values load from APIs and update correctly.","","Dashboard and Analytics","High","1","task,dashboard,frontend","2017"
"SUNIT8","4017","Sub-task","Keep numeric formatting consistent","Implementation step for dashboard metrics. Acceptance Criteria: numbers use the same format across the UI.","","Dashboard and Analytics","Medium","1","subtask,dashboard,frontend","3017"
"SUNIT8","3018","Task","Wire dashboard charts to analytics data","Work item for dashboard charts. Acceptance Criteria: chart components consume live analytics data and show sensible empty states.","","Dashboard and Analytics","High","1","task,dashboard,frontend","2018"
"SUNIT8","4018","Sub-task","Confirm empty dataset behavior","Implementation step for chart rendering. Acceptance Criteria: charts do not break when data is missing.","","Dashboard and Analytics","Medium","1","subtask,dashboard,frontend","3018"
"SUNIT8","3019","Task","Finish the admin landing view","Work item for admin dashboard. Acceptance Criteria: the page renders admin summary widgets and fits the shared app shell.","","Dashboard and Analytics","Medium","1","task,admin,dashboard,frontend","2019"
"SUNIT8","4019","Sub-task","Keep the page lightweight","Implementation step for admin dashboard. Acceptance Criteria: the page loads quickly and stays simple.","","Dashboard and Analytics","Low","1","subtask,admin,dashboard,frontend","3019"
"SUNIT8","2020","Story","Build reports landing view","Current state: the reports page scaffold exists. Goal: present report categories, summary metrics, and useful shortcuts. Acceptance Criteria: reports page loads; summary widgets use live or seeded data; the page is reachable from navigation.","","Reports","Medium","3","reports,frontend,analytics,admin",""
"SUNIT8","2021","Story","Add CSV and PDF export support","Goal: allow users to export transaction and rule-related views for offline review. Acceptance Criteria: CSV export works; PDF export works; exports handle empty data safely.","","Reports","Medium","5","reports,export,frontend",""
"SUNIT8","3020","Task","Finalize reports layout and links","Work item for the reports page. Acceptance Criteria: the reports page is readable, linked from navigation, and matches the dashboard style.","","Reports","Medium","1","task,reports,frontend","2020"
"SUNIT8","4020","Sub-task","Keep styling consistent with dashboard","Implementation step for reports UI. Acceptance Criteria: spacing, typography, and color usage match the dashboard shell.","","Reports","Low","1","subtask,reports,frontend","3020"
"SUNIT8","3021","Task","Wire CSV and PDF export actions","Work item for export behavior. Acceptance Criteria: export buttons produce the correct file types and downloads complete successfully.","","Reports","Medium","1","task,reports,frontend","2021"
"SUNIT8","4021","Sub-task","Confirm exports on seeded data","Implementation step for export validation. Acceptance Criteria: exports work with demo-sized data sets.","","Reports","Low","1","subtask,reports,frontend","3021"
"SUNIT8","2022","Story","Refine global layout and navigation","Current state: navbar, sidebar, layout, and route config exist. Goal: improve sidebar, top bar, and page structure consistency. Acceptance Criteria: layout is consistent; navigation clearly shows the active area; desktop responsiveness is acceptable.","","UI/UX","High","5","ui,ux,frontend",""
"SUNIT8","2023","Story","Add tasteful motion to key screens","Goal: add purposeful animations for login, dashboard transitions, and loading states. Acceptance Criteria: motion improves clarity; animations do not cause layout shift; motion remains performant.","","UI/UX","Medium","3","ui,motion,frontend",""
"SUNIT8","2024","Story","Improve accessibility and visual consistency","Goal: tighten color usage, spacing, contrast, and keyboard friendliness across screens. Acceptance Criteria: key screens meet basic accessibility expectations; typography and spacing are consistent; interactive elements are keyboard accessible.","","UI/UX","Medium","3","accessibility,ui,frontend",""
"SUNIT8","3022","Task","Standardize the app shell and navigation","Work item for layout consistency. Acceptance Criteria: sidebar, navbar, and page shell behave consistently across routes.","","UI/UX","High","1","task,ui,frontend","2022"
"SUNIT8","4022","Sub-task","Reduce layout shifts between routes","Implementation step for shell consistency. Acceptance Criteria: navigation changes do not cause visible layout jumping.","","UI/UX","Medium","1","subtask,ui,frontend","3022"
"SUNIT8","3023","Task","Add purposeful motion to key screens","Work item for motion polish. Acceptance Criteria: login and dashboard transitions feel smooth and not distracting.","","UI/UX","Medium","1","task,ui,motion,frontend","2023"
"SUNIT8","4023","Sub-task","Avoid excessive animation","Implementation step for motion work. Acceptance Criteria: animations support usability rather than obscure it.","","UI/UX","Low","1","subtask,ui,motion,frontend","3023"
"SUNIT8","3024","Task","Improve accessibility and component styling","Work item for accessibility. Acceptance Criteria: color contrast, focus states, and component styling are consistent and usable.","","UI/UX","Medium","1","task,accessibility,ui,frontend","2024"
"SUNIT8","4024","Sub-task","Check login and dashboard first","Implementation step for accessibility review. Acceptance Criteria: the most used screens are verified first.","","UI/UX","Low","1","subtask,accessibility,ui,frontend","3024"
"SUNIT8","2025","Story","Standardize API client and error handling","Current state: shared axios client exists. Goal: keep base paths, auth behavior, and error normalization consistent across services. Acceptance Criteria: all services use the shared client; API errors are normalized; local development proxy behavior works.","","Backend Integration","High","3","integration,frontend,api",""
"SUNIT8","2026","Story","Align backend and frontend local environments","Goal: ensure local dev ports, backend origins, and frontend proxy settings work together cleanly. Acceptance Criteria: frontend can call backend locally; CORS supports approved local origins; environment settings are documented.","","Backend Integration","High","3","integration,backend,frontend",""
"SUNIT8","3025","Task","Standardize shared API client behavior","Work item for integration cleanup. Acceptance Criteria: request configuration and error handling stay centralized.","","Backend Integration","High","1","task,integration,frontend,api","2025"
"SUNIT8","4025","Sub-task","Keep request configuration simple","Implementation step for the API client. Acceptance Criteria: the client remains easy to maintain and reuse.","","Backend Integration","Low","1","subtask,integration,frontend,api","3025"
"SUNIT8","3026","Task","Align local frontend and backend settings","Work item for local integration. Acceptance Criteria: the local environment runs without manual hacks for common cases.","","Backend Integration","High","1","task,integration,backend,frontend","2026"
"SUNIT8","4026","Sub-task","Avoid hard-coded production assumptions","Implementation step for environment alignment. Acceptance Criteria: local settings do not depend on production-only values.","","Backend Integration","Medium","1","subtask,integration,backend,frontend","3026"
"SUNIT8","2027","Story","Expand API integration coverage","Current state: backend integration tests exist for rules and transactions. Goal: cover transaction, rule, and validation flows with realistic application wiring. Acceptance Criteria: happy paths are covered; validation and bad request envelopes are tested; tests run reliably in CI.","","Testing","Highest","8","testing,backend,integration",""
"SUNIT8","2028","Story","Add basic frontend smoke coverage","Goal: validate login, routing, and main pages render with live or mocked data. Acceptance Criteria: core screens render; critical interactions are covered; broken API states are visible.","","Testing","High","5","testing,frontend,qa",""
"SUNIT8","2029","Story","Lock down API response contracts","Goal: protect the main response structures so frontend integration does not break unexpectedly. Acceptance Criteria: response envelopes remain stable; breaking changes are caught early; regression checks run before release.","","Testing","High","5","testing,api,regression",""
"SUNIT8","3027","Task","Expand backend integration test coverage","Work item for backend regression protection. Acceptance Criteria: missing endpoint cases and malformed inputs are covered in deterministic tests.","","Testing","Highest","1","task,testing,backend","2027"
"SUNIT8","4027","Sub-task","Confirm tests work with local MySQL setup","Implementation step for integration testing. Acceptance Criteria: tests pass against the recovered local database flow.","","Testing","High","1","subtask,testing,backend","3027"
"SUNIT8","3028","Task","Add frontend smoke checks","Work item for frontend test coverage. Acceptance Criteria: routes, login, and dashboard/report screens render successfully.","","Testing","High","1","task,testing,frontend,qa","2028"
"SUNIT8","4028","Sub-task","Add one failure-state check","Implementation step for smoke coverage. Acceptance Criteria: one visible error path is validated.","","Testing","Medium","1","subtask,testing,frontend,qa","3028"
"SUNIT8","3029","Task","Lock down API contracts","Work item for contract testing. Acceptance Criteria: expected payloads are documented and checked before release.","","Testing","High","1","task,testing,api,regression","2029"
"SUNIT8","4029","Sub-task","Keep expected payloads documented","Implementation step for contract testing. Acceptance Criteria: a reviewer can see the intended payload shape easily.","","Testing","Medium","1","subtask,testing,api,regression","3029"
"SUNIT8","2030","Story","Improve dashboard and list rendering performance","Current state: demo-sized data is usable. Goal: keep charts, tables, and lists responsive as data grows. Acceptance Criteria: large lists remain usable; charts and tables stay responsive; loading states feel smooth.","","Performance","Medium","5","performance,frontend,dashboard",""
"SUNIT8","2031","Story","Tune key API query paths","Goal: keep transaction, rule, and alert queries responsive on larger data volumes. Acceptance Criteria: main queries remain fast enough for UI use; slow queries are identified and improved; results remain correct after tuning.","","Performance","Medium","5","performance,backend,database",""
"SUNIT8","3030","Task","Improve rendering and list performance","Work item for frontend performance. Acceptance Criteria: expensive re-renders are reduced and large lists stay usable.","","Performance","Medium","1","task,performance,frontend","2030"
"SUNIT8","4030","Sub-task","Check larger seeded datasets","Implementation step for performance review. Acceptance Criteria: the UI is checked with larger demo data volumes.","","Performance","Low","1","subtask,performance,frontend","3030"
"SUNIT8","3031","Task","Tune database query paths","Work item for backend performance. Acceptance Criteria: query shapes are reviewed and indexes are validated where needed.","","Performance","Medium","1","task,performance,backend,database","2031"
"SUNIT8","4031","Sub-task","Measure query shape against seeded data","Implementation step for performance tuning. Acceptance Criteria: the database behavior is observed on representative data.","","Performance","Low","1","subtask,performance,backend,database","3031"
"SUNIT8","2032","Story","Stabilize local run steps","Current state: backend startup and docs exist in part. Goal: make sure developers can start backend, frontend, and database consistently. Acceptance Criteria: setup instructions are accurate; required environment variables are documented; startup sequence is repeatable.","","Deployment","High","3","deployment,docs,devex",""
"SUNIT8","2033","Story","Define sprint signoff checklist","Goal: make the release criteria explicit for each sprint and final deployment. Acceptance Criteria: checklist exists and is used during review; build, test, and runtime checks are captured; owners are clear.","","Deployment","Medium","2","deployment,release,governance",""
"SUNIT8","3032","Task","Document backend frontend and database startup steps","Work item for local deployment. Acceptance Criteria: the team has clear steps for running the app locally.","","Deployment","High","1","task,deployment,docs","2032"
"SUNIT8","4032","Sub-task","Verify Windows startup steps","Implementation step for deployment docs. Acceptance Criteria: the documented steps work on the Windows workspace used by the team.","","Deployment","Medium","1","subtask,deployment,docs","3032"
"SUNIT8","3033","Task","Define release signoff criteria","Work item for deployment readiness. Acceptance Criteria: release criteria are clear, short, and practical.","","Deployment","Medium","1","task,deployment,release","2033"
"SUNIT8","4033","Sub-task","Keep the checklist short and practical","Implementation step for release readiness. Acceptance Criteria: the checklist can be used quickly during sprint review.","","Deployment","Low","1","subtask,deployment,release","3033"
